Code,Name,PGN,,,,
A00,Anderssen's Opening,1.a3,,,,
A00,"Polish Gambit, Anderssen's Opening",1.a3 a5 2.b4,,,,
A00,Creepy Crawly Formation,1.a3 e5 2.h3 d5,,,,
A00,Andersspike,1.a3 g6 2.g4,,,,
A00,Ware; Meadow Hay; Crab,1.a4,,,,
A00,"Wing Gambit, Ware Opening",1.a4 b5,,,,
A00,"Cologne Gambit, Ware Opening",1.a4 b6 2.d4 d5 2.Nc3 Nd7,,,,
A00,Ware Gambit,1.a4 e5 2.a5 d5 3.e3 f5 4.a6,,,,
A00,Polish; Orangutan; Sokolsky; Hunt,1.b4,,,,
A00,"Birmingham Gambit, Polish",1.b4 c5,,,,
A00,"Outflank Variation, Polish",1.b4 c6ï¿½ï¿½ï¿½,,,,
A00,"Schuhler Gambit, Polish",1.b4 c6 2.Bb2 a5 3.b5 cxb5 4.e4,,,,
A00,"Myers Variation, Polish",1.b4 d5 2.Bb2 c6 3.a4,,,,
A00,"Bugayev Attack, Polish",1.b4 e5 2.a3,,,,
A00,"Wolferts Gambit, Polish",1.b4 e5 2.Bb2 c5,,,,
A00,Schiffler-Sokolsky; Tartakower Gambit,1.b4 e5 2.Bb2 f6 3.e4 Bxb4,,,,
A00,"Brinckmann Variation, Polish",1.b4 e5 2.Bb2 f6 3.e4 Bxb4 4.Bc4 Nc6 5.f4 Qe7 6.f5 g6,,,,
A00,"Bucker Defense, Polish",1.b4 Na6,,,,
A00,"Grigorian Variation, Polish",1.b4 Nc6,,,,
A00,Polish Spike,1.b4 Nf6 2.Bb2 g6 3.g4,,,,
A00,"Karniewski; Tubingen Variation, Polish",1.b4 Nh6,,,,
A00,Saragossa; Hempel's Opening,1.c3,,,,
A00,Hanham; Hayward,1.c3 e5 2.Qc2,,,,
A00,Mieses; Valencia; Venezuelan Opening,1.d3ï¿½ï¿½,,,,
A00,Venezolana,1.d3 c5 2.Nc3 Nc6 3.g3,,,,
A00,Reversed Rat,1.d3 e5,,,,
A00,Spike Deferred; Myers Spike Attack,1.d3 g6 2.g4,,,,
A00,Keoni-Hiva Gambit,1.e3 d5 2.Nc3 Nf6 3.a3 e5 4.f4 exf4 5.Nf3,,,,
A00,Van't Kruijs Opening,1.e3 e5,,,,
A00,Bouncing Bishop Variation,1.e3 e5 2.Bc4 b5 3.Bb3,,,,
A00,Amsterdam Attack,1.e3 e5 2.c4 d6 3.Nc3 Nc6 4.b3 Nf6,,,,
